text,label
"This week is going to be LIT Its Its Its Serani this Friday, my brother DJ E Dub's Birthday…",3
He was not trying to get on that ice @ Bowie Ice Arena,1
This shit @user @user @ 169th And Boston Road ; Bronx NY,3
Fever x Beyoncé Choreography: werk_pdx @ Vega Dance+Lab,3
So this is what it's like to take a day off #didntevenworkouttoday…,1
Magic is in the air ️#happybirthday #academyofmagicalarts #themagiccastle @ The Magic Castle,3
Pretty sure @user and I are the only people here without kids When one of your favorite…,1
Me and that baby Lola Bunny..I was playing a side nigga last night @ 3208 Entertainment Complex,1
My intern is excelling at his responsibilities #happymom @ Follis…,2
️ @ Goose Island,2
"Love ️Young Living ER! (@ Carrolls Cottage in Morrisville, PA)",0
Making #loops #sp404sx TimeConsuming #studiolife #wedobeats #hiphop #flstudio #Hiphopjunkie…,3
"NYE with palendr0me, dis cheese plate and some #angrycukes from @user @ Newnan, Georgia",1
"#regram from @user // #throwpackthursday #tbt #jauntlife #caro @ Fort Collins, Colorado",3
Back cafethtown enjoying some tea and about to have soup and sandwich ️ ️ ️. #cafeth…,0
An accurate reflection of how I feel around her @user @ The Columbia River Washington Temple,0
Be carful! we have the must powerful weapon in that world! ️LOVE ️ @ Busch…,3
Date night with my handsome guy! #datenight ️ #loveofmtlife #sappy&amp;happy @ Zinburger Wine &amp;…,0
Tap Photo and Links For More #Info From @user #RickRock #rickrockbeats #rickrockbeats …,3
"There's a few things in life i regret but you're not one of them, that's forsure ️ you did great…",2
Can u say trendy af? Rockin that new @user gear in the streets! Thanks for the care…,3
I swear it's gonna be lit Cuz tonight my Breda from different mom Dj TRIX's birthday Tell a…,1
I'm tired and hungry. Haha! I'm slowly getting my energy back!! Haha!! @ Dufferin And St.Clair…,1
"Lol @ ""wristband ready"" #freshii #libertyvillage #futurpreneur #toronto @user @ freshii",3
Comes complete w/ all the buzzwords to help you identify industry posers! Have an...,1
Doc went tooo far back this time @ Tennessee,1
Then there was that crazy #party where Orange Cat was wearing a #lampshade by the end …,3
"Beautiful Morning ️ (@ Greater Echo Park Elysian in Los Angeles, CA)",0
My two @ Colonial Park Playground,0
"""Ey yo drift it!"" Gotchu. suprlife #suprlife #kennycano #nyc #timessquare #driftit…",3
Bought this first thing this morning #wondewoman wonderwomanlovers @user,4
Welcome to the fam GG! @ Kappa Delta- University of Oregon,0
#totaleclipse #mikesgym @user # @ Mike's Gym,3
"Catch me if you can... lol #GoodMorning! @ Norfolk, Virginia",1
Da Legend Eddie Griffin killed it last night!!! @ Baltimore…,3
Watch how this ended so badly By clicking the link in my bio .#gym #sfsu @ San Francisco…,3
"Family ️ @ Woodward, Oklahoma",2
My uncle got the instant replay on the kickball game @ Washington…,3
"Anniversary gift from the honey! #LouboutinBag #couturehandbags ️ ️ @ Hollywood, California",0
This weekends beautiful bride @user and her hubby Matt thank you for letting me be part of…,0
"Got lost in this game, ohhh baby #britneyspears #halloween17 #oopsididitagain @user @user",1
"#dead #aminallovin #DesusandMero #shortywasntready @ Garment District, Manhattan",3
when you randomly run into one of your besties at the #airport #WTF #life #friends #travel…,3
Anyone else see that perfect halo around Rachel? Absolutely stunning! .Photo:…,1
Blessed to be working with such amazing people @ Big Lou's Pizza,0
My shirt says Mind over Matter and I'm a happy hairstylist. ️ @ CHROME; A SALON EXPERIENCE,1
I'll always choose you #charmander #sdcc @ San Diego Convention Center,1
"Beyond excited for what's to come for us!!! @ Broadview Heights, Ohio",0
You sure are a fun guy... #fun #guy #fungi #moss #green #white #summer #newjersey #mushroom…,1
"""No Frauds"" @ Normandy Isles, Miami Beach",0
Beauty shines through... #sundayvibes #uu #uufh #chalice #stainedglass #latergram…,0
We really enjoyed Legoland @ LEGOLAND Discovery Center Atlanta,0
I'm good @ Starbucks,1
My new watch #new #music #hiphop #rap #np #squad #smile #world #facebook #twitter #family…,3
So much fun!! Even though I was scared.... lol @ Lake Pleasant…,1
